"Genotype" "EnvRef" "INRcle2015Irr" "INRcle2013N+" "INRcle2013N-" "INRmon2012N+" "INRmon2012N-" "INRmon2013N+" "INRmon2013N-"
"79" "kundera" 94.0015323404479 106.524142590943 NA NA NA NA NA NA
"80" "attitude" 79.3015323404479 87.6241425909433 89.8683255814318 81.3757770404462 70.858573745253 58.4592409046781 85.0367369076066 64.6143570977742
"81" "dinosor" 88.5015323404479 96.7241425909433 96.7791949514374 94.3536540113349 74.3248333952631 64.8977566697075 88.5061438480414 68.8603822617191
"82" "dialog" 76.6015323404479 89.8241425909433 94.2056654338203 91.0629862901962 70.4748333952631 62.2977566697076 84.9466170963617 69.744819174915
"83" "rgt tekno" 75.9015323404479 96.4241425909433 NA NA NA NA NA NA
"84" "bermude" 90.2015323404479 96.4241425909433 92.9948532051266 91.1046380835189 77.3777777777776 69.2444444444433 88.7223934452847 70.1216733309001
"85" "boregar" 80.1511689194853 89.5241464666249 90.7235540079629 90.7196035921997 86.3585737452531 75.8092409046781 75.7092906651619 62.2980995297266
"86" "marcelin" 90.5015323404479 86.5241425909433 91.0503438156249 91.4541605739846 80.2381631684739 69.3007955750806 83.1530316856614 67.4448748774057
"92" "camp remy" 77.4015323404479 73.3241425909433 81.0379749157022 76.6137342921957 59.7748333952632 57.7477566697076 72.613255786374 64.0777693050808
"91" "nemo" 81.9011689194853 100.974146466625 NA NA NA NA NA NA
"90" "sebasto" 85.8015323404479 82.9241425909433 92.725422676065 85.6015070281789 79.138163168474 69.1007955750805 83.1758910611339 67.2129599595249
"89" "ronsard" 82.951168919479 97.7241445287694 96.0514994895087 90.2784093346899 88.0918785582133 72.3430710365298 83.7731544476941 68.6889091272034
"88" "crousty" 75.0015323404479 84.3241425909433 84.3248843658096 77.1233786920178 69.3748333952631 60.9977566697076 83.6542710166652 64.6219607223223
"87" "cordiale" 78.2015323404479 84.4241425909433 83.7958649397425 79.5676335777868 73.1248333952631 65.5477566697075 82.9579608964065 65.28505696231
"93" "caphorn" 79.5008054985227 82.3241464666249 91.5443403749478 85.6469819381966 73.4248333952632 63.6477566697076 78.3260503185542 62.38600167226
"94" "orvantis" 85.3008054985227 90.9241464666249 95.3758677241129 91.641060591288 69.398793629129 64.3020490857599 85.2657671989356 71.5189473248278
"95" "sokal" 86.7008054985227 96.5241464666249 89.886222181262 83.3975474680939 76.448793629129 71.8020490857598 88.731069154782 72.4415261939222
"96" "aristote" 78.5008054985227 85.4241464666249 101.65267744603 98.3857151433166 75.458573745253 67.5092409046781 88.8233569333601 69.5337665954308
"97" "hisseo" 82.2008054985227 92.9241464666249 95.4514758758478 96.9720446222165 73.2196658018243 70.9840069231985 88.5325725103447 73.2665078159589
"98" "syllon" 82.1508054985227 89.0241445287841 NA NA NA NA NA NA
"105" "basmati" 79.1008054985227 96.1241464666249 91.9188924308783 97.0185299552694 85.2285652173411 70.0160707957139 89.8382739432672 71.9225546837366
"104" "laurier" 76.2008054985227 90.4741445287841 93.1744021776525 91.446827836323 84.298793629129 69.0020490857599 90.9983677038553 72.0348969389328
"103" "element" 60.7008054985227 70.3741464666249 NA NA NA NA NA NA
"102" "hendrix" 73.6008054985227 83.3241464666249 NA NA NA NA NA NA
"101" "renan" 70.1008054985227 59.4241464666249 68.5590806340156 66.3480952566036 61.8748333952632 57.3977566697075 73.5281951751629 61.1996602223863
"100" "swinggy" 79.5008054985227 82.5241464666249 95.6869228546048 93.8027894525959 67.0860836362056 75.5093804071853 78.4025899682567 63.5219270682647
"99" "fluor" 83.6008054985227 95.6741464666249 92.0659314608073 89.8867362853619 83.0248333952631 70.9477566697075 87.2656364915867 70.7371857191373
"106" "hekto" 77.1008054985227 76.1241464666249 89.2989416544989 89.0483106593896 79.8487936291289 67.7020490857599 83.6859748863448 67.8959856326854
"108" "lennox" 85.5008054985227 89.0241464666249 NA NA NA NA NA NA
"109" "lyrik" 88.5008054985227 94.3241464666249 NA NA NA NA NA NA
"110" "barok" 79.9008054985227 80.3241464666249 87.7235845318598 89.7738855736355 78.308573745253 71.7592409046781 79.8799754912867 71.0998330682993
"111" "figaro" 80.7008054985227 80.4241464666249 87.3461374343225 83.8181909318356 64.7860836362055 64.0093804071854 85.1863682903687 68.3665349982409
"112" "plainedor" 77.6008054985227 78.8241464666249 NA NA NA NA NA NA
"116" "ambello" 73.6008054985227 104.424146466625 93.4669334998852 91.6599289342021 82.5381631684738 68.7007955750807 93.5792701893692 68.4709138424131
"115" "galpino" 74.7008054985227 79.1241464666249 86.2774092035079 82.4230249955504 72.6256402515949 64.3886337166663 77.1396111800448 62.3903847603167
"114" "instinct" 81.6008054985227 87.2241464666249 91.7059489567502 87.3403039689602 71.3381631684739 63.4007955750807 80.0164247859265 66.0121295292908
"113" "lord" 73.9008054985227 97.4241464666249 94.6814601380729 88.0878283382094 67.148793629129 65.7020490857599 79.1437650832855 65.6058992680226
"117" "istabraq" 76.6347129756867 85.3232166398041 96.7185752969071 95.5987568656615 NA NA 95.0539916614385 76.567060560636
"118" "quebon" 70.2065735870226 70.5732166398041 NA NA NA NA NA NA
"119" "ambition" 74.0065735870226 70.7732166398041 97.7114364248384 96.3612242062688 76.944800164388 75.6156299543826 86.5817632712372 71.2484169042345
"120" "sy epson" 85.7065735870226 82.3732166398041 88.242294837322 88.0407596390149 84.1585737452532 76.309240904678 93.9448322784858 75.2401893103882
"122" "amundsen" 76.3065735870225 87.8732166398041 99.0381742280381 97.3586026141096 74.944800164388 68.3156299543826 88.1705802611321 72.1395752903492
"123" "paindor" 64.1065735870226 72.2732167468075 NA NA NA NA NA NA
"124" "jb diego" 79.5565735870226 92.3232166398041 97.7100727115308 96.5904104707945 76.4948001643881 71.8656299543826 90.7850390392584 70.8431977195299
"125" "alchemy" 70.5065735870226 82.3732166398041 93.3904467039682 92.8595859436409 84.294800164388 81.8156299543826 93.8396315688612 77.6058091632977
"134" "popeye" 74.4065735870226 79.7732166398041 NA NA NA NA NA NA
"133" "lear" 90.4065735870226 99.9732166398041 90.0442885643635 94.9550164325097 80.9448001643881 82.8156299543826 95.547913342918 75.5281171246971
"132" "gladiator" 78.6065735870226 77.4732166398041 89.1775774987859 83.6316740415861 76.3918785582133 59.7430710365298 77.6286182724193 66.4634307039531
"131" "manager" 80.1565735870226 90.9732166398041 98.2849183695715 97.4859820804342 78.2643313964832 76.8558491359388 87.9785117380941 71.8967818747359
"130" "ephoros" 80.7065735870226 82.5232167468075 100.098051187769 90.5265953225766 79.3918785582133 72.0430710365298 90.0517617428501 71.1205099545118
"129" "xi19" 80.2065735870226 85.0732166398041 102.712845668087 94.2410926554915 68.0643313964831 65.8558491359388 86.5868555420183 63.7145079214975
"128" "samurai" 79.4565735870226 80.9232167468075 104.959281521574 104.10052731416 80.8643313964832 80.6558491359387 91.2610087717404 72.2521330734413
"127" "einstein" 86.2065735870226 87.4732166398041 94.1257788787111 87.4855977698408 67.294800164388 60.0156299543826 85.4494606779741 65.3104670948797
"126" "bergamo" 83.4065735870226 97.3232167468075 96.8282989247889 92.9843317423739 82.5085737452531 77.4092409046781 89.4066452814321 79.5946581956291
"135" "fairplay" 82.1065735870226 74.6732166398041 95.3543277840382 91.8660659931073 76.0643313964831 76.9558491359388 93.849695485716 78.530832134415
"136" "marksman" 91.6065735870226 94.6732166398041 100.772427188257 93.783770372498 77.1918785582133 64.5430710365298 83.0014507429449 67.7008596760475
"137" "papageno" 65.2065735870225 74.7732166398041 82.5450015562971 81.5748035380021 71.938163168474 63.5007955750806 89.7051052863624 67.7588798805203
"138" "glasgow" 77.1847129756867 72.973216853811 90.652905070169 91.7628562766611 78.0918785582133 65.4430710365298 93.005275871395 76.322938520171
"139" "galvano" 37.9065735870225 62.9732166398041 97.3589145533094 88.5459396610813 75.194800164388 64.1656299543826 89.6593474973661 71.1628441669257
"140" "mandragor" 73.2065735870226 93.2732166398041 NA NA NA NA NA NA
"141" "pierrot" 79.4065735870226 75.8732166398041 103.323897000395 96.1629241853702 80.6643313964832 75.9558491359387 87.4628848567297 74.0712521847921
"148" "racine" 70.1065735870226 88.9732166398041 96.3026888697872 89.4944978737025 78.8585737452531 73.1092409046781 90.5878834014068 67.1954749408306
"147" "warrior" 60.8065735870226 84.8732166398041 96.8701036251262 91.8374615640666 83.1643313964831 71.8558491359387 94.8871254601398 75.4788043432357
"146" "kalahari" 70.8347129756867 97.2232166398041 95.2951944250683 91.2496989777917 71.5918785582133 67.9430710365298 85.1083718542632 68.2038386936136
"145" "rgt texaco" 75.3347129756867 93.2732167468075 NA NA NA NA NA NA
"144" "costello" 70.1065735870226 91.2232167468075 NA NA NA NA NA NA
"143" "oxebo" 75.3065735870226 84.8732166398041 94.9637162826751 90.2737154847082 79.5643313964832 76.1558491359387 95.9665747941835 72.9130306969985
"142" "kalystar" 87.8847129756867 93.473216853811 97.1121676989571 91.292337167881 81.5918785582133 67.7430710365298 90.2826533361415 72.313328126959
"149" "belepi" 97.1128523643508 95.4232167468075 NA NA NA NA NA NA
"150" "kws podium" 68.1628523643508 68.273216853811 88.9921443960132 86.5181071162604 82.1448001643881 76.5156299543826 89.9342028862099 74.4644144587781
"151" "pajero" 83.7628523643508 82.873216853811 83.7582023609157 79.3076752197309 70.7643313964832 66.4558491359388 89.6747200292372 70.3932130383575
"152" "gotik" 85.4628523643508 77.673216853811 NA NA NA NA NA NA
"153" "koreli" 66.4628523643508 75.123216853811 97.2885244349936 85.594969582459 83.8918785582133 70.2430710365298 89.7882864504813 69.7876050949612
"154" "granamax" 83.2628523643508 83.073216853811 NA NA NA NA NA NA
"155" "sponsor" 69.0628523643508 81.773216853811 90.4275566913469 84.9424369290018 65.7085737452531 73.109240904678 84.2759187541211 72.9512445838657
"157" "noblesko" 72.9628523643508 86.473216853811 NA NA NA NA NA NA
"161" "sankara" 74.2628523643508 81.673216853811 91.1217264735938 88.24220714905 69.7085737452531 60.6592409046781 84.3612750939771 65.8803886349097
"160" "perfector" 65.7628523643508 90.373216853811 95.0893788665076 88.0722921080608 73.8918785582133 62.1430710365298 83.5439141910773 66.5206711125604
"159" "selekt" 80.2628523643508 95.673216853811 96.7353185099466 88.2536819930572 76.6643313964832 69.8558491359387 90.4786078026731 68.9163632750574
"158" "phileas" 78.9628523643508 93.273216853811 NA NA NA NA NA NA
"162" "pepidor" 74.6628523643508 95.373216853811 96.7140942524127 92.2075437586935 85.1918785582133 75.3430710365298 90.4422780427324 69.256155921143
"163" "baltimor" 66.9628523643508 64.373216853811 NA NA NA NA NA NA
"164" "chevalier" 70.9628523643508 90.273216853811 88.1552806124672 84.2910918859919 78.6248333952631 62.6477566697076 81.4562548280672 64.5424988478897
"165" "pireneo" 59.1628523643508 71.473216853811 75.9473468066671 75.5847168394189 58.7585737452531 57.3592409046781 78.0443729313932 62.4490454033057
"166" "iridium" 76.8628523643508 83.573216853811 87.055150525694 83.0060821770023 79.6918785582133 67.0430710365298 81.1420817833303 67.712584742502
"167" "expert" 80.4628523643508 83.373216853811 96.7750277351944 92.0601543752568 76.9918785582133 69.5430710365298 89.6980038310851 75.1928580151727
"168" "orfield" 71.1628523643508 72.673216853811 NA NA NA NA NA NA
"172" "flaubert" 81.4628523643508 78.573216853811 91.9277340406419 90.1668024532664 67.6918785582133 66.1430710365298 88.0267929700109 70.1498389087379
"171" "sogood" 80.0628523643508 90.973216853811 100.64823493497 94.4222296852668 70.0585737452531 64.1592409046781 82.1128707778769 70.6070532942987
"170" "antonius" 51.4628523643508 68.573216853811 75.0229339085699 73.0919067507571 65.6918785582132 58.1430710365299 81.1653621119401 62.9303141107636
"169" "chevron" 83.4628523643508 103.973216853811 NA NA NA NA NA NA
"173" "bagou" 74.4126206109953 89.2909928465323 88.41822141996 91.439408856566 78.4381631684739 73.7007955750807 80.9556955746677 69.3691983530631
"174" "collector" 80.9126206109953 104.790992846532 NA NA NA NA NA NA
"175" "sherlock" 71.1126206109953 70.1909928465323 NA NA NA NA NA NA
"176" "ghayta" 53.1126206109953 73.4409928465323 NA NA NA NA NA NA
"177" "lavoisier" 77.4126206109953 91.5909928465323 NA NA NA NA NA NA
"178" "aplomb" 67.1126206109953 79.6909928465323 NA NA NA NA NA NA
"179" "catalan" 76.7126206109953 96.3909928465323 94.1222870150287 87.832656523596 69.4748333952632 57.3977566697076 80.4911379142722 62.6621480389051
"180" "sy mattis" 71.7126206109953 92.7909928465323 92.6951557484893 90.7264436683249 71.9860836362056 68.8093804071853 83.5319988393894 71.6163994951191
"181" "cellule" 86.1626206109953 96.3909941956202 96.2796302532605 90.8586906052818 83.5196658018243 73.6840069231984 96.4548777425016 73.9642096770562
"190" "sweet" 83.7243687503591 92.8909928465323 93.8436911932575 92.6435580490993 72.8860836362056 68.0093804071853 84.182994947744 72.2490598888588
"189" "alixan" 86.3126206109953 100.990992846532 97.3593553937075 92.3989807590497 77.6381631684738 63.8007955750807 91.4428596556138 66.5737762919825
"188" "compil" 84.2126206109953 96.1909928465323 86.2214628562084 85.276382956212 70.8748333952631 66.7977566697075 85.1331034758791 70.550319019112
"187" "galactic" 83.4126206109953 87.2909928465323 98.268886933039 99.5794920332706 73.5748333952631 63.4977566697075 78.5373363354149 61.5776703918061
"186" "foxyl" 82.8243687503591 99.5909941956202 NA NA NA NA NA NA
"185" "descartes" 86.5126206109953 94.0909928465323 NA NA NA NA NA NA
"184" "terroir" 91.0126206109953 97.9909928465323 NA NA NA NA NA NA
"183" "skerzzo" 76.9243687503591 81.2909941956202 NA NA NA NA NA NA
"182" "jaguar" 70.4126206109953 80.5409941956202 90.7355967737222 89.7153751446127 71.9434390826284 67.352761461697 78.8707320506468 63.2325021436913
"191" "altigo" 76.0126206109953 84.3909928465323 94.8952727362856 92.6859207822345 78.1333333333331 69.9025774837824 83.2142374389341 68.813257703333
